일시,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),체감온도,습도범주
2018-01-01 11:00:00,0.1,,2.2,27.0,1.7,-16.7,1018.1,1029.0,1.0,0.84,,,1.0,1.0,35.0,1874,0.0,0.0,0.3,1.0,0.3283672730452237,낮음
2018-01-01 12:00:00,1.5,,2.8,20.0,1.4,-19.0,1017.6,1028.5,1.0,1.03,,,1.0,0.0,,1992,0.3,0.1,0.3,1.0,1.347309363292077,낮음
2018-01-01 13:00:00,2.4,,2.3,22.0,1.6,-17.2,1016.7,1027.5,1.0,1.1,,,0.0,0.0,,1921,1.2,0.2,0.3,1.0,2.708023117181337,낮음
2018-01-01 14:00:00,3.7,,2.1,24.0,1.9,-15.0,1016.4,1027.2,1.0,1.01,,,6.0,2.0,17.0,1906,1.4,0.4,0.3,1.0,4.268399597366049,낮음
2018-01-01 15:00:00,3.0,,2.9,27.0,2.0,-14.2,1016.1,1026.9,1.0,0.78,,,7.0,7.0,14.0,1715,1.4,0.3,0.3,1.0,2.913234893429762,낮음
2018-01-01 16:00:00,3.0,,2.5,28.0,2.1,-13.7,1016.5,1027.3,0.9,0.51,,,6.0,6.0,15.0,1864,0.0,0.3,0.3,1.0,3.1965167618851478,낮음
2018-01-01 17:00:00,1.8,,3.3,33.0,2.3,-12.8,1016.6,1027.4,0.8,0.18,,,0.0,0.0,,1913,0.0,0.1,0.3,1.0,1.3393249880167315,낮음
2018-01-01 18:00:00,0.8,,1.9,34.0,2.2,-13.3,1017.1,1028.0,0.0,0.01,,,0.0,0.0,,1887,-0.4,0.1,0.3,1.0,1.368982559786815,낮음
2018-01-02 12:00:00,0.9,,1.9,29.0,1.9,-15.1,1018.5,1029.4,1.0,0.88,,,0.0,0.0,,1761,0.1,0.0,0.2,1.0,1.4750709121956582,낮음
2018-01-02 13:00:00,1.5,,3.6,23.0,1.6,-17.4,1017.7,1028.6,1.0,0.95,,,0.0,0.0,,1970,0.9,0.1,0.2,1.0,0.8260296054131261,낮음
